INPUT:image	OUTPUT:gender	OUTPUT:result	OUTPUT:confidence	GOLDEN:gender	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40706.png"""	0	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61a6a003a0e7a3372fb0c16f	03b8b692-bbe3-4498-b1a9-0316107d7a89	0001c92a07--61a6a003a0e7a3372fb0c16f	241aa1448c1578bba145e8618d2b03c0	APPROVED	2021-11-30T22:04:51.038
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40963.png"""	1	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba28a25ab5e662788b45c	69ea44d8-f4ff-4c3e-a8f5-795376cf05ad	0001c92a07--61aba28a25ab5e662788b45c	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:16:58.294
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40976.png"""	0	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2a48a06601a20847a26	48407e9c-9c4d-43fc-866e-69faedb393d3	0001c92a07--61aba2a48a06601a20847a26	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:17:24.053
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40835.png"""	1	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2b225ab5e662788b54c	94c07afd-734c-403a-9471-ce1582a033d0	0001c92a07--61aba2b225ab5e662788b54c	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:17:38.376
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40769.png"""	0	1	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2c52786e25e67ea03e4	5217dc3e-7a97-493b-bb5b-98d33d0724fa	0001c92a07--61aba2c52786e25e67ea03e4	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:17:57.377
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40987.png"""	0	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2ded46ff461a7f1ad8c	1fe09278-6912-4502-ae4a-7d010c526181	0001c92a07--61aba2ded46ff461a7f1ad8c	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:18:22.791
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_563.png"""	1	1	0						https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2f019bf98074ef9c29b	f1af058e-b73e-4c88-be63-76ddb8d38f02	0001c92a07--61aba2f019bf98074ef9c29b	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:18:40.577
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40769.png"""	0	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2fa1e37d6183d8dfb6e	5217dc3e-7a97-493b-bb5b-98d33d0724fa	0001c92a07--61aba2fa1e37d6183d8dfb6e	4eac57a0e6b2bd20c6a9b5297ee59943	APPROVED	2021-12-04T17:18:50.571
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40798.png"""	0	0	0		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba2fb48f66669040d7443	a5ee8ad4-e2d4-4862-83d8-c11408a2a68a	0001c92a07--61aba2fb48f66669040d7443	e129a680d3180978f01d9436dc10ce2c	APPROVED	2021-12-04T17:18:51.488
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40925.png"""	2	0	2		0				https://toloka.yandex.ru/task/29960711/0001c92a07--61aba3066b8dbc6f8ead7a84	29127fb4-c9cd-4ecd-976f-b31b4d550e6c	0001c92a07--61aba3066b8dbc6f8ead7a84	9768f0f6864e5b255ce71f6ee1f31b37	APPROVED	2021-12-04T17:19:02.311
