INPUT:image_left	INPUT:image_right	OUTPUT:result	OUTPUT:textfield	GOLDEN:result	GOLDEN:textfield	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1644.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40822.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb0b90654628870f4bfa	4ce4ee35-dc87-4050-a620-c8d4f24ff472	0001c6641c--619edb0b90654628870f4bfa	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:38:35.515
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40990.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1980.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb0e19ee3173d7857a83	f8e45d25-daed-4d63-ba59-381178c66b7c	0001c6641c--619edb0e19ee3173d7857a83	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:38:38.716
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40860.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1720.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb192b748c2e32b40bfc	96eb9094-4377-4ca3-86ab-893dca07cba5	0001c6641c--619edb192b748c2e32b40bfc	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:38:49.187
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40191.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_382.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb21be4c354c3cfb4412	8fa5230e-e5eb-40d4-8615-7d569ebefc2a	0001c6641c--619edb21be4c354c3cfb4412	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:38:57.823
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40040.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_80.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb226fc6c53a95569a79	62f8adb8-8ae1-4571-a890-2fa33cf3a79a	0001c6641c--619edb226fc6c53a95569a79	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:38:58.437
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40647.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1294.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb295f1d5e36828b6e84	e4a869a4-ab96-4df3-9beb-8ae6d8d7e656	0001c6641c--619edb295f1d5e36828b6e84	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:39:05.389
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_406.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40203.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb361dc1392cc73f43bf	37e0d06c-5385-4448-8271-fcec5fad2f6e	0001c6641c--619edb361dc1392cc73f43bf	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:39:18.417
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40658.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1316.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb375f1d5e36828b6ecb	35290e66-f9c9-45e1-af54-7b17f73c784d	0001c6641c--619edb375f1d5e36828b6ecb	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:39:19.204
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40855.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1710.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb3e3e5c5d7bfca3c49f	98d14130-46cf-41b2-80b8-fffc8a16b181	0001c6641c--619edb3e3e5c5d7bfca3c49f	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:39:26.566
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40685.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1370.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb493f6e8105551723ca	6eb739e9-50b2-4071-84cd-bc52e0e8a417	0001c6641c--619edb493f6e8105551723ca	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:39:37.727
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40195.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_390.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb49c43ca50cf6bd1909	50024e70-1432-49c8-a7ed-af38cd151039	0001c6641c--619edb49c43ca50cf6bd1909	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:39:37.898
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40076.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_152.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb527837e37d9a64b1b5	350b93a2-cec7-440a-92b7-347c007f8058	0001c6641c--619edb527837e37d9a64b1b5	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:39:46.910
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1324.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40662.png	Left		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb52e8fc5e4c794a34e2	8dfd96cb-c3e9-44b0-9c3b-26152ba81216	0001c6641c--619edb52e8fc5e4c794a34e2	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:39:46.510
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_332.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40166.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb5d5f1d5e36828b6f32	cf158077-5239-4e4f-afc2-2348650d92c8	0001c6641c--619edb5d5f1d5e36828b6f32	e1023e2d4449795dae9e1b46bf6b3cd7	APPROVED	2021-11-25T00:39:57.434
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40310.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_620.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/29778972/0001c6641c--619edb63ee2c592eb5723169	a2adf99f-9370-4921-a901-8e8d1b3bd1e5	0001c6641c--619edb63ee2c592eb5723169	642cc44d8b190f80aaaa8710150f02b2	APPROVED	2021-11-25T00:40:03.311
													
