INPUT:image_left	INPUT:image_right	OUTPUT:result	OUTPUT:textfield	GOLDEN:result	GOLDEN:textfield	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_785.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40822.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae7180e6166d6a31848125	c9373b05-46bb-4f17-9e0d-d82a4d32f37e	0001cbd19b--61ae7180e6166d6a31848125	9c0967fe626070766f09aa93ac682584	APPROVED	2021-12-06T20:24:32.133
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_243.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40545.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae7189b402c123889dab8d	df441413-2fb6-4c76-a7ab-ce014b441923	0001cbd19b--61ae7189b402c123889dab8d	9c0967fe626070766f09aa93ac682584	APPROVED	2021-12-06T20:24:41.857
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_731.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40803.png	Left		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71920910fc6b97ec9deb	41cab91a-1c71-4ce5-b4b8-56201b519260	0001cbd19b--61ae71920910fc6b97ec9deb	9c0967fe626070766f09aa93ac682584	APPROVED	2021-12-06T20:24:50.483
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40695.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_519.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71a2ec7c4619a7c39d19	689e8281-6333-49ee-84cc-ca68d36d4fd4	0001cbd19b--61ae71a2ec7c4619a7c39d19	9c0967fe626070766f09aa93ac682584	APPROVED	2021-12-06T20:25:06.713
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40895.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_933.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71c67e288174a932d202	6b5105ca-a1e5-422c-8441-d18513911044	0001cbd19b--61ae71c67e288174a932d202	2a4f5f5ccd67527c17e3205408b104a6	APPROVED	2021-12-06T20:25:42.880
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_37.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40631.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71c748f66669041fb965	60152fe3-2521-49cc-9907-4ab9c016f0f8	0001cbd19b--61ae71c748f66669041fb965	62050dccc5bd13c33051af0c3ea7ee4e	APPROVED	2021-12-06T20:25:43.188
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40524.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_17.png	Right		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71c82ed8ae28868bedb9	73e45cd2-3e00-4b35-840b-af605cbb2da2	0001cbd19b--61ae71c82ed8ae28868bedb9	2e8c49d08bfff4277f760a3ca4551b1d	APPROVED	2021-12-06T20:25:44.435
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_121.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40504.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae71f41735844b19851416	33f7b598-4da7-4e8c-9dbf-091319bcc0aa	0001cbd19b--61ae71f41735844b19851416	62050dccc5bd13c33051af0c3ea7ee4e	APPROVED	2021-12-06T20:26:28.255
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40850.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_835.png	Left		Left		The image on the Left is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae72027e288174a932d3e1	b6c518ca-9de6-4ee9-841f-5852f964da48	0001cbd19b--61ae72027e288174a932d3e1	62050dccc5bd13c33051af0c3ea7ee4e	APPROVED	2021-12-06T20:26:42.298
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_699.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40786.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae720f25ab5e66279e0e77	16bc1f13-f0de-43e4-965b-c0297670c5d2	0001cbd19b--61ae720f25ab5e66279e0e77	62050dccc5bd13c33051af0c3ea7ee4e	APPROVED	2021-12-06T20:26:55.202
													
https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_811.png	https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/original/40831.png	Right		Right		The image on the Right is REAL.		https://toloka.yandex.ru/task/30134683/0001cbd19b--61ae7224127fe1158a521a84	efe8252c-f2f2-42de-9346-8d78f27a1742	0001cbd19b--61ae7224127fe1158a521a84	62050dccc5bd13c33051af0c3ea7ee4e	APPROVED	2021-12-06T20:27:16.771
													
