INPUT:image	OUTPUT:reason	OUTPUT:result	OUTPUT:confidence	GOLDEN:reason	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00005.png"""		0	0		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a6c863015f6719ae71ae	076e9c18-2cac-41b1-bcc8-bd92f4b7496f	00020794f5--62b3a6c863015f6719ae71ae	d827d054dd2b068a55597ce9f94cdf4b	APPROVED	2022-06-22T23:33:28.531
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00103.png"""		1	0		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a6ce86474a5c9aa4a05f	3f08b8f8-6581-4220-b8fc-e99079b02e52	00020794f5--62b3a6ce86474a5c9aa4a05f	d827d054dd2b068a55597ce9f94cdf4b	APPROVED	2022-06-22T23:33:34.675
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_110.png"""		0	0		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a6d48bb77b33979b28ae	854a92dc-ac68-46cb-a90c-3dff7ac4697f	00020794f5--62b3a6d48bb77b33979b28ae	d827d054dd2b068a55597ce9f94cdf4b	APPROVED	2022-06-22T23:33:40.731
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_52.png"""		1	1		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a6f09fca636d8244954e	1c796c1a-ee0f-46b2-80a8-2bc1960b0b75	00020794f5--62b3a6f09fca636d8244954e	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:34:08.570
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00064.png"""		1	0		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a6fa9fca636d824495d1	9314dfb1-6a03-4221-8d0b-e664682423f5	00020794f5--62b3a6fa9fca636d824495d1	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:34:18.439
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00005.png"""		0	1		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a70348ba4a55ad000250	076e9c18-2cac-41b1-bcc8-bd92f4b7496f	00020794f5--62b3a70348ba4a55ad000250	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:34:27.795
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00874.png"""		1	1		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a708d3f9887f0ac5cd2a	3f2554bb-dd1a-4d4a-b06c-0e7a82238f00	00020794f5--62b3a708d3f9887f0ac5cd2a	53551125da18981c79b34e63c5c9ae0b	APPROVED	2022-06-22T23:34:32.855
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00097.png"""		0	1		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a70e11330202f5e18fd0	152cc8b2-53c5-48fa-a195-41e392beb5ff	00020794f5--62b3a70e11330202f5e18fd0	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:34:38.680
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_162.png"""		1	1		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a714d3f9887f0ac5cd57	676dd29a-af12-4284-98b4-ec318ce2bd86	00020794f5--62b3a714d3f9887f0ac5cd57	08fc9ff050d327b517b5d26eb9f7ef8d	APPROVED	2022-06-22T23:34:44.545
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1336.png"""		1	1		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a7177add182ed2df0658	4cc76249-e0c4-4546-afc6-8c0326c8057c	00020794f5--62b3a7177add182ed2df0658	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:34:47.715
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_52.png"""		1	1		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a71f89998b36af93a463	1c796c1a-ee0f-46b2-80a8-2bc1960b0b75	00020794f5--62b3a71f89998b36af93a463	08fc9ff050d327b517b5d26eb9f7ef8d	APPROVED	2022-06-22T23:34:55.277
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1520.png"""		1	1		1				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a727ee24122ca3213c96	c199b3c6-5533-4bb6-869c-144b496359ef	00020794f5--62b3a727ee24122ca3213c96	98d49b7e019d60b2cf58334a9ba8feff	APPROVED	2022-06-22T23:35:03.369
														
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00064.png"""		1	0		0				https://toloka.yandex.ru/task/34051317/00020794f5--62b3a72bee24122ca3213cc0	9314dfb1-6a03-4221-8d0b-e664682423f5	00020794f5--62b3a72bee24122ca3213cc0	08fc9ff050d327b517b5d26eb9f7ef8d	APPROVED	2022-06-22T23:35:07.855
														
