INPUT:image	OUTPUT:reason	OUTPUT:result	OUTPUT:confidence	GOLDEN:reason	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_212.png"""		0	1		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae50f95d2f342f97cf3e84	ec8b34f4-b7fe-4485-9905-7f8f7503aa60	0002069a78--62ae50f95d2f342f97cf3e84	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:26:01.448	2022-06-18T22:26:20.080
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00008.png"""		0	2		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae510ebf14257215d86dd9	96b039fb-5577-4400-a5bb-534a4dd2771a	0002069a78--62ae510ebf14257215d86dd9	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:26:22.159	2022-06-18T22:26:35.923
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_540.png"""		0	1		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae511e913966743ab52332	0ea23f38-5757-496c-a8a0-7c6f4138a7ee	0002069a78--62ae511e913966743ab52332	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:26:38.512	2022-06-18T22:26:56.110
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1272.png"""		1	1		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51328429d62dc08db195	622212ff-f8fa-4851-b389-c8fb1a63611b	0002069a78--62ae51328429d62dc08db195	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:26:58.661	2022-06-18T22:27:11.146
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1468.png"""		0	2		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae5141cafc206657290fe3	1166ae89-6516-4df6-972f-9618469f2df7	0002069a78--62ae5141cafc206657290fe3	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:27:13.867	2022-06-18T22:29:20.359
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00070.png"""		1	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae5173d053cf29e7e7730c	3d9af0d6-930c-4796-a3f6-58b8a5cf2a78	0002069a78--62ae5173d053cf29e7e7730c	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:28:03.867	2022-06-18T22:28:24.768
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00816.png"""		0	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae518efb3a404d0a4e0784	51ee246a-ed20-4f14-a3e4-cba3c34ff33b	0002069a78--62ae518efb3a404d0a4e0784	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:28:30.026	2022-06-18T22:28:58.351
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00040.png"""		0	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51a1fb3a404d0a4e07da	6e6fbb71-aa6a-4d19-bf51-721c9947f8f1	0002069a78--62ae51a1fb3a404d0a4e07da	727b28810b2666d6b1954102f2177ad3	APPROVED	2022-06-18T22:28:49.090	2022-06-18T22:29:11.471
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_78.png"""		0	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51af48254e0ec74dfafa	f23899a5-448d-440f-9a63-6bd67f017df6	0002069a78--62ae51af48254e0ec74dfafa	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:29:03.594	2022-06-18T22:29:25.856
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1468.png"""		0	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51ba4968ae602aad9ba6	1166ae89-6516-4df6-972f-9618469f2df7	0002069a78--62ae51ba4968ae602aad9ba6	727b28810b2666d6b1954102f2177ad3	APPROVED	2022-06-18T22:29:14.345	2022-06-18T22:29:26.152
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1220.png"""		1	2		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51c2f486ce61ceda0e53	92f2617c-8991-438b-b737-2827a049f16b	0002069a78--62ae51c2f486ce61ceda0e53	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:29:22.492	2022-06-18T22:29:37.392
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_78.png"""		0	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51c8bf14257215d87297	f23899a5-448d-440f-9a63-6bd67f017df6	0002069a78--62ae51c8bf14257215d87297	727b28810b2666d6b1954102f2177ad3	APPROVED	2022-06-18T22:29:28.663	2022-06-18T22:29:44.357
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00010.png"""		0	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51c9bde0776e6648731c	c42a7024-cd7a-43a0-bfa5-5697e7a70dad	0002069a78--62ae51c9bde0776e6648731c	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:29:29.277	2022-06-18T22:29:48.167
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1372.png"""		1	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51d42f19775ffa36c86e	72e994c7-130e-4118-aaeb-58772a7fb20c	0002069a78--62ae51d42f19775ffa36c86e	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:29:40.032	2022-06-18T22:29:49.169
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00056.png"""		0	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51da664dff0a81490fa9	37b189e9-e0d8-4702-9229-3c0ce4d45530	0002069a78--62ae51da664dff0a81490fa9	727b28810b2666d6b1954102f2177ad3	APPROVED	2022-06-18T22:29:46.952	2022-06-18T22:34:14.245
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_118.png"""		1	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51df46781276f56bd40c	f7941784-11d8-4aff-8249-dbecc5dc1d07	0002069a78--62ae51df46781276f56bd40c	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:29:51.763	2022-06-18T22:30:03.871
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00039.png"""		1	2		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51dfe943321fd5c2dbc5	05a5ff4c-8f17-4e18-96d3-620f7b9b4d7f	0002069a78--62ae51dfe943321fd5c2dbc5	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:29:51.701	2022-06-18T22:30:13.984
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00598.png"""		0	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51efbdb113459c3cd668	627c2a50-0f87-470f-a596-7e17409a8a06	0002069a78--62ae51efbdb113459c3cd668	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:30:07.827	2022-06-18T22:30:37.284
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00056.png"""		0	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae51f897e8692e16ab0059	37b189e9-e0d8-4702-9229-3c0ce4d45530	0002069a78--62ae51f897e8692e16ab0059	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:30:16.472	2022-06-18T22:30:34.566
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_186.png"""		0	2		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae520cee338260dc21cc93	0a4d38d0-6b0e-4e9c-bc62-62f60b7a825c	0002069a78--62ae520cee338260dc21cc93	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:30:36.283	2022-06-18T22:30:53.914
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1486.png"""		0	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae5211bf14257215d87459	d6bf080c-82cb-43e3-afbd-d99f2420028e	0002069a78--62ae5211bf14257215d87459	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:30:41.985	2022-06-18T22:31:04.615
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00598.png"""		0	2		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae521f09141a0022c7d686	627c2a50-0f87-470f-a596-7e17409a8a06	0002069a78--62ae521f09141a0022c7d686	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:30:55.737	2022-06-18T22:31:09.964
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00040.png"""		0	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae522c4968ae602aad9ce9	6e6fbb71-aa6a-4d19-bf51-721c9947f8f1	0002069a78--62ae522c4968ae602aad9ce9	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:31:08.172	2022-06-18T22:31:29.782
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00010.png"""		0	2		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae523009141a0022c7d6e7	c42a7024-cd7a-43a0-bfa5-5697e7a70dad	0002069a78--62ae523009141a0022c7d6e7	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:31:12.554	2022-06-18T22:31:27.828
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00040.png"""		0	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae52409e3d59633162e11d	6e6fbb71-aa6a-4d19-bf51-721c9947f8f1	0002069a78--62ae52409e3d59633162e11d	166abf457dcc544e69e622eef94561aa	APPROVED	2022-06-18T22:31:28.784	2022-06-18T22:31:42.514
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00029.png"""		0	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae52424c744c10451c3ca1	5aa0e72b-db09-49ce-9879-4707bba8fbc7	0002069a78--62ae52424c744c10451c3ca1	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:31:30.492	2022-06-18T22:31:38.775
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00056.png"""		0	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae524600d07f565dc0db22	37b189e9-e0d8-4702-9229-3c0ce4d45530	0002069a78--62ae524600d07f565dc0db22	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:31:34.295	2022-06-18T22:31:51.496
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00070.png"""		1	2		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae524cda40c1336248cbc8	3d9af0d6-930c-4796-a3f6-58b8a5cf2a78	0002069a78--62ae524cda40c1336248cbc8	52ce46e9f0b01f4ce861907520afe5c7	APPROVED	2022-06-18T22:31:40.689	2022-06-18T22:31:58.278
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00010.png"""		1	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae52519e3d59633162e150	c42a7024-cd7a-43a0-bfa5-5697e7a70dad	0002069a78--62ae52519e3d59633162e150	166abf457dcc544e69e622eef94561aa	APPROVED	2022-06-18T22:31:45.032	2022-06-18T22:31:50.469
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1272.png"""		0	0		1				https://toloka.yandex.ru/task/33987192/0002069a78--62ae52528777dc53ff8293d2	622212ff-f8fa-4851-b389-c8fb1a63611b	0002069a78--62ae52528777dc53ff8293d2	bad43d6d79882c8b61bcced011cbc86d	APPROVED	2022-06-18T22:31:46.883	2022-06-18T22:31:54.440
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00920.png"""		1	0		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae525812f9da0106823a21	270b5871-983b-4b93-923e-5805112ecf42	0002069a78--62ae525812f9da0106823a21	166abf457dcc544e69e622eef94561aa	APPROVED	2022-06-18T22:31:52.636	2022-06-18T22:32:02.324
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00920.png"""		1	1		0				https://toloka.yandex.ru/task/33987192/0002069a78--62ae525bd2cd4a6fed0999c4	270b5871-983b-4b93-923e-5805112ecf42	0002069a78--62ae525bd2cd4a6fed0999c4	bfda5dfd3da0ef542be9fbe40559fec8	APPROVED	2022-06-18T22:31:55.378	2022-06-18T22:32:19.657
