INPUT:image	OUTPUT:path	OUTPUT:gender	OUTPUT:result	OUTPUT:confidence	GOLDEN:path	GOLDEN:gender	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_236.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3067e88be50c0adf20c0	a9a9df7b-454f-4b77-a5b7-63c23e4f79bb	000205a2aa--62aa3067e88be50c0adf20c0	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:17:59.643
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00078.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30713af54660bf7f5d01	be5bd9e6-9823-41ea-96b5-d08fce2c12f1	000205a2aa--62aa30713af54660bf7f5d01	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:09.365
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00044.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3079b960475b6bc99a88	83e7364a-20f5-47d8-8222-ac947571ec35	000205a2aa--62aa3079b960475b6bc99a88	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:17.344
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1478.png"""		0	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa308036178077011e05f4	0a2344df-2209-4ec1-be0c-97fd32462a2a	000205a2aa--62aa308036178077011e05f4	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:24.691
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_64.png"""		1	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3086495a747183132103	57740a97-10d0-4500-805b-a642f012ba4b	000205a2aa--62aa3086495a747183132103	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:30.490
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1113.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa308e68dc5b2b8f082144	51314045-9b1e-445a-bf90-2cf8d368325b	000205a2aa--62aa308e68dc5b2b8f082144	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:38.580
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_164.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3098a3909b51fd0532a9	819586a1-ca3b-4fe1-8903-f7b7322d4242	000205a2aa--62aa3098a3909b51fd0532a9	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:48.433
																
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1482.png"""		1	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30a0a2fd525bf8cb1d70	3bb2b903-6b15-492c-8a7f-64931c06c5b7	000205a2aa--62aa30a0a2fd525bf8cb1d70	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:56.082
																
