INPUT:image	OUTPUT:eye	OUTPUT:reason	OUTPUT:result	OUTPUT:confidence	GOLDEN:eye	GOLDEN:reason	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1404.png"""	1		0	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab9669038ad124013efbdd	ec369321-2c36-4540-b6e6-b706448b54f3	0002062864--62ab9669038ad124013efbdd	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:45:29.740	2022-06-16T20:46:05.094
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00371.png"""	2		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab967200d07f565dac37e2	5b0ac48a-3154-4bed-9bd8-9f1939074d66	0002062864--62ab967200d07f565dac37e2	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:45:38.131	2022-06-16T20:46:05.492
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_196.png"""	1		1	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab968f68008e1f11e6f422	c332b518-70ea-48d2-abea-41071ef6cd23	0002062864--62ab968f68008e1f11e6f422	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:46:07.534	2022-06-16T20:46:24.859
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_160.png"""	0		1	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab968ffb3a404d0a396f2d	12b9efae-57f6-4d9c-a9e3-15be1b712f02	0002062864--62ab968ffb3a404d0a396f2d	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:46:07.634	2022-06-16T20:46:33.911
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_28.png"""	1		0	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab96a312f9da010665d411	91b8f180-d56a-4af6-8b49-c0e495bab7d4	0002062864--62ab96a312f9da010665d411	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:46:27.404	2022-06-16T20:47:13.428
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00040.png"""	0		0	1			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab96ac8777dc53ff68a725	8ac6fa85-442c-4c01-90a9-7a731f6fa3ab	0002062864--62ab96ac8777dc53ff68a725	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:46:36.516	2022-06-16T20:46:56.826
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_196.png"""	1		1	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab96c3d2cd4a6fedf4043f	c332b518-70ea-48d2-abea-41071ef6cd23	0002062864--62ab96c3d2cd4a6fedf4043f	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:46:59.011	2022-06-16T20:47:32.158
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00793.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab96d4b62f0f20bb52628c	b6367c33-6e7f-4235-ac73-b8919ca78c42	0002062864--62ab96d4b62f0f20bb52628c	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:47:16.235	2022-06-16T20:47:26.016
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00042.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab96e04c744c1045fcb5b3	8964e8b3-9114-4922-9d5a-c892debca59c	0002062864--62ab96e04c744c1045fcb5b3	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:47:28.665	2022-06-16T20:47:42.351
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1541.png"""	1		1	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab96e65d176f26c95129f4	2f258236-345f-4941-9c78-32788d0844c4	0002062864--62ab96e65d176f26c95129f4	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:47:34.714	2022-06-16T20:48:02.751
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_84.png"""	1		0	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab96f016320604516c8a8c	cd23a74a-bd74-46a9-af9c-094f45652692	0002062864--62ab96f016320604516c8a8c	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:47:44.038	2022-06-16T20:47:51.560
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1010.png"""	1		0	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab96fa194ad816431c0a96	f02b0bf0-f040-4634-821b-7c1b17effdad	0002062864--62ab96fa194ad816431c0a96	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:47:54.252	2022-06-16T20:48:01.336
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00942.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab9703fb3a404d0a3972bb	008fac26-8d05-4389-b6c6-9da9ee88860d	0002062864--62ab9703fb3a404d0a3972bb	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:48:03.962	2022-06-16T20:48:12.295
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00371.png"""	1		0	1			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab9704af5d106d48575af3	5b0ac48a-3154-4bed-9bd8-9f1939074d66	0002062864--62ab9704af5d106d48575af3	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:48:04.909	2022-06-16T20:48:27.245
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_892.png"""	1		0	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab970eb1b5fe2f484ed7ac	127b2392-9ea5-483c-bab3-46c9827c223b	0002062864--62ab970eb1b5fe2f484ed7ac	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:48:14.645	2022-06-16T20:48:24.595
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00053.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab971be2f46c69483b3681	03cb6b20-5d0b-44be-9036-1a2e1fa520b6	0002062864--62ab971be2f46c69483b3681	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:48:27.314	2022-06-16T20:48:36.532
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png"""	1		0	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab971db1b5fe2f484ed821	fa075ba1-137b-419d-bceb-44d9dddaa32e	0002062864--62ab971db1b5fe2f484ed821	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:48:29.928	2022-06-16T20:48:42.988
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00269.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab9727b62f0f20bb5263c2	fbf7bc4c-c4a6-4fb9-8e3b-7953acc60af4	0002062864--62ab9727b62f0f20bb5263c2	b8fae3c8143fe6415f195a3fbfde6bb6	APPROVED	2022-06-16T20:48:39.246	2022-06-16T20:51:10.613
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1010.png"""	1		1	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab972ed3f65f15f0b1370c	f02b0bf0-f040-4634-821b-7c1b17effdad	0002062864--62ab972ed3f65f15f0b1370c	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:48:46.598	2022-06-16T20:49:10.832
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_188.png"""	0		1	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab97492f19775ffa1457cb	0a86dd5a-b30e-488d-b45d-40722be2507c	0002062864--62ab97492f19775ffa1457cb	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:49:13.381	2022-06-16T20:49:40.852
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png"""	1		0	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab975768008e1f11e6f865	fa075ba1-137b-419d-bceb-44d9dddaa32e	0002062864--62ab975768008e1f11e6f865	4abcce8d27082cd51ca93685dd9d93cb	APPROVED	2022-06-16T20:49:27.607	2022-06-16T20:50:00.639
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00104.png"""	1		0	0			0				https://toloka.yandex.ru/task/33957988/0002062864--62ab97668429d62dc070c033	2cab31d2-9454-490f-ad20-cd912c1eb32b	0002062864--62ab97668429d62dc070c033	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:49:42.905	2022-06-16T20:49:57.226
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_4.png"""	2		1	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab976cfb3a404d0a397488	fa075ba1-137b-419d-bceb-44d9dddaa32e	0002062864--62ab976cfb3a404d0a397488	69ca08ff3092dba4f436aef6cee61d4f	APPROVED	2022-06-16T20:49:48.769	2022-06-16T20:51:59.579
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_154.png"""	1		0	1			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab97778429d62dc070c0c0	b33dbddb-64fb-4a57-985e-6b950eb4ee5e	0002062864--62ab97778429d62dc070c0c0	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:49:59.447	2022-06-16T20:50:26.169
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_166.png"""	0		1	0			1				https://toloka.yandex.ru/task/33957988/0002062864--62ab9794d2eb5432f1d0daae	1957f286-8f69-4ea7-aad1-1da7f8427a40	0002062864--62ab9794d2eb5432f1d0daae	bdbe98229133bd5472d03e4e4e8c2d20	APPROVED	2022-06-16T20:50:28.884	2022-06-16T20:51:14.808
