INPUT:image	OUTPUT:gender	OUTPUT:reason	OUTPUT:result	OUTPUT:confidence	GOLDEN:gender	GOLDEN:reason	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00753.png"""	0		1	2			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b14544f747a91edcbb4f51	9f49ed06-ee71-455e-8214-a726e987491b	0002071a34--62b14544f747a91edcbb4f51	acc78d5fb3575c0e4436abdd4ad25f54	APPROVED	2022-06-21T04:12:52.044	2022-06-21T04:12:59.659
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_940.png"""	0		0	2			1				https://toloka.yandex.ru/task/34019892/0002071a34--62b1454eda40c133625ab872	1cb61cd2-ab51-458c-a058-52e49ae80502	0002071a34--62b1454eda40c133625ab872	acc78d5fb3575c0e4436abdd4ad25f54	APPROVED	2022-06-21T04:13:02.159	2022-06-21T04:13:06.775
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00468.png"""	1		0	2			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b145559e3d596331763839	fa84aa6f-948d-4c75-b5fc-b4deb342f3aa	0002071a34--62b145559e3d596331763839	acc78d5fb3575c0e4436abdd4ad25f54	APPROVED	2022-06-21T04:13:09.426	2022-06-21T04:13:19.833
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1474.png"""	1		0	2			1				https://toloka.yandex.ru/task/34019892/0002071a34--62b14562d2cd4a6fed1e5314	dbb30ff7-e706-4b1d-90d0-49011f29d930	0002071a34--62b14562d2cd4a6fed1e5314	acc78d5fb3575c0e4436abdd4ad25f54	APPROVED	2022-06-21T04:13:22.526	2022-06-21T04:13:36.361
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00793.png"""	1		1	2			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b14572d2cd4a6fed1e53a6	1879a67e-7064-4956-8193-d5a78cee0d0c	0002071a34--62b14572d2cd4a6fed1e53a6	acc78d5fb3575c0e4436abdd4ad25f54	APPROVED	2022-06-21T04:13:38.944	2022-06-21T04:13:43.842
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00740.png"""	0		0	0			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b145e846781276f5804db0	306a8d6c-8b4b-4314-994b-5b467dba80ed	0002071a34--62b145e846781276f5804db0	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:15:36.712	2022-06-21T04:15:57.944
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1372.png"""	0		1	1			1				https://toloka.yandex.ru/task/34019892/0002071a34--62b146001253871757180696	af6ce7c6-d50e-40c7-9b7f-cfb9fb88a9fd	0002071a34--62b146001253871757180696	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:16:00.701	2022-06-21T04:16:13.757
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_14.png"""	1		0	0			1				https://toloka.yandex.ru/task/34019892/0002071a34--62b1461000d07f565dd49c06	1538ef0c-40b8-4db7-a564-06be8a2aca05	0002071a34--62b1461000d07f565dd49c06	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:16:16.384	2022-06-21T04:16:33.118
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00663.png"""	1		0	0			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b1462346781276f5804f07	216a0e67-036c-4a9a-a871-c63f644d08eb	0002071a34--62b1462346781276f5804f07	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:16:35.386	2022-06-21T04:16:51.065
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1134.png"""	0		1	1			1				https://toloka.yandex.ru/task/34019892/0002071a34--62b146354968ae602ac031c9	1caeb686-3ae4-4e0b-9e7e-13ba878f1ad6	0002071a34--62b146354968ae602ac031c9	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:16:53.473	2022-06-21T04:17:06.079
																	
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00103.png"""	0		0	0			0				https://toloka.yandex.ru/task/34019892/0002071a34--62b14644bdb113459c4fce60	011d20f4-f896-4b57-9017-710b855f0fad	0002071a34--62b14644bdb113459c4fce60	12899c42f5ef8eb776a7f5ed61ed8923	APPROVED	2022-06-21T04:17:08.989	2022-06-21T04:17:23.078
																	
