INPUT:image	OUTPUT:path	OUTPUT:gender	OUTPUT:result	OUTPUT:confidence	GOLDEN:path	GOLDEN:gender	GOLDEN:result	GOLDEN:confidence	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_236.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3067e88be50c0adf20c0	a9a9df7b-454f-4b77-a5b7-63c23e4f79bb	000205a2aa--62aa3067e88be50c0adf20c0	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:17:59.643	2022-06-15T19:18:07.970
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00078.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30713af54660bf7f5d01	be5bd9e6-9823-41ea-96b5-d08fce2c12f1	000205a2aa--62aa30713af54660bf7f5d01	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:09.365	2022-06-15T19:18:15.220
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00044.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3079b960475b6bc99a88	83e7364a-20f5-47d8-8222-ac947571ec35	000205a2aa--62aa3079b960475b6bc99a88	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:17.344	2022-06-15T19:18:22.913
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1478.png"""		0	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa308036178077011e05f4	0a2344df-2209-4ec1-be0c-97fd32462a2a	000205a2aa--62aa308036178077011e05f4	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:24.691	2022-06-15T19:18:28.972
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_64.png"""		1	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3086495a747183132103	57740a97-10d0-4500-805b-a642f012ba4b	000205a2aa--62aa3086495a747183132103	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:30.490	2022-06-15T19:18:36.977
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1113.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa308e68dc5b2b8f082144	51314045-9b1e-445a-bf90-2cf8d368325b	000205a2aa--62aa308e68dc5b2b8f082144	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:38.580	2022-06-15T19:18:46.521
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_164.png"""		0	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa3098a3909b51fd0532a9	819586a1-ca3b-4fe1-8903-f7b7322d4242	000205a2aa--62aa3098a3909b51fd0532a9	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:48.433	2022-06-15T19:18:54.465
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1482.png"""		1	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30a0a2fd525bf8cb1d70	3bb2b903-6b15-492c-8a7f-64931c06c5b7	000205a2aa--62aa30a0a2fd525bf8cb1d70	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:18:56.082	2022-06-15T19:19:03.261
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_26.png"""		1	1	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30a9301ab33086119b3f	0fd474a7-fc2a-4f49-b542-df9454943be6	000205a2aa--62aa30a9301ab33086119b3f	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:19:05.592	2022-06-15T19:19:14.100
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00897.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30ac607b83307d377427	34831ced-6830-45d5-9f61-c2b1e9fb75ac	000205a2aa--62aa30ac607b83307d377427	c4895ebf6ffbac86cc9c19e584d65c8a	APPROVED	2022-06-15T19:19:08.302	2022-06-15T19:19:19.495
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00897.png"""		0	0	0			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30b4e8b9d72be3e71272	34831ced-6830-45d5-9f61-c2b1e9fb75ac	000205a2aa--62aa30b4e8b9d72be3e71272	4ea6b39c02ddc9c53451f693bf3d7956	APPROVED	2022-06-15T19:19:16.626	2022-06-15T19:19:21.561
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/true_face/00032.png"""		0	0	1			0				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30b7607b83307d3774b3	9e4c7017-5490-4da0-82b3-a522babf0aac	000205a2aa--62aa30b7607b83307d3774b3	eb76519f408102fb896d4744a0cd6919	APPROVED	2022-06-15T19:19:19.820	2022-06-15T19:19:26.571
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_90.png"""		1	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30b929ca9f6380a0d675	b48722ba-2dd7-418f-ae83-ca2163de2ed5	000205a2aa--62aa30b929ca9f6380a0d675	c4895ebf6ffbac86cc9c19e584d65c8a	APPROVED	2022-06-15T19:19:21.635	2022-06-15T19:19:33.823
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_164.png"""		0	1	1			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30c0e88be50c0adf24b9	819586a1-ca3b-4fe1-8903-f7b7322d4242	000205a2aa--62aa30c0e88be50c0adf24b9	eb76519f408102fb896d4744a0cd6919	APPROVED	2022-06-15T19:19:28.695	2022-06-15T19:19:36.065
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_1113.png"""		0	0	0			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30c73af54660bf7f5f67	51314045-9b1e-445a-bf90-2cf8d368325b	000205a2aa--62aa30c73af54660bf7f5f67	c4895ebf6ffbac86cc9c19e584d65c8a	APPROVED	2022-06-15T19:19:35.845	2022-06-15T19:19:45.590
"""https://raw.githubusercontent.com/BirkhoffG/crowd_project/main/img/img_150.png"""		0	0	1			1				https://toloka.yandex.ru/task/33923754/000205a2aa--62aa30ca26f8f16d79e04c59	1a29dac4-d81b-4524-b6c4-7c5825a1eab4	000205a2aa--62aa30ca26f8f16d79e04c59	eb76519f408102fb896d4744a0cd6919	APPROVED	2022-06-15T19:19:38.479	2022-06-15T19:19:44.851
